[00:57:35]: [Join Announcement] ứng ngọc sơn
[00:58:49]: [Announcement] ứng ngọc sơn   successfully entered game   Completed Achievement [New Beginning]
[02:55:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:33]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:34]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:35]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:36]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:36]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:37]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:40]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:41]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:43]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:48]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:49]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:51]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:51]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:55:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:09]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:22]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:24]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:25]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:29]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:33]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:34]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:35]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:35]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:36]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:37]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:40]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:40]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:41]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:43]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:43]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:47]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:48]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:48]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:49]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:51]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:56:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:04]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:22]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:22]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:24]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:25]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:29]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:33]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:34]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:34]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:35]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:36]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:40]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:41]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:43]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:51]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:57:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:04]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:04]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:09]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:22]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:24]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:25]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:29]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:29]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:33]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:33]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:34]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:35]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:35]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:36]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:37]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:38]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:39]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:40]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:41]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:42]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:43]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:44]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:45]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:46]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:47]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:48]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:50]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:51]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:52]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:53]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:54]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:55]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:56]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:57]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:58:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:04]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:08]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:09]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:10]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:15]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:16]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:17]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:18]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:19]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:20]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:21]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:22]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:23]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:24]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:25]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:25]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:26]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:27]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:28]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:29]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:30]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:31]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:32]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:33]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:34]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:35]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:35]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:36]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:37]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:59:37]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
